Track URI,Track Name,Artist Name(s),Album URI,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),Pitbull,spotify:album:5xLAcbvbSAlRtPXnKkggXA,False,64,0.825,0.743,2.0,-5.995,1.0,0.149,0.0142,2.12e-05,0.237,0.8,127.045,4.0
spotify:track:70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,Britney Spears,spotify:album:3WNxdumkSMGMJRhEgK80qx,False,56,0.677,0.665,7.0,-5.171,1.0,0.0305,0.56,1.01e-06,0.338,0.706,74.981,4.0
spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,The Kinks,spotify:album:6lL6HugNEN4Vlc8sj0Zcse,False,42,0.683,0.728,9.0,-8.92,1.0,0.259,0.568,5.08e-05,0.0384,0.833,75.311,4.0
spotify:track:4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,Fleetwood Mac,spotify:album:1bt6q2SruMsBtcerNVtpZB,False,79,0.671,0.71,9.0,-7.724,1.0,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,4.0
spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",spotify:album:7pkLXlFdpQDfmHujT2AbBK,False,78,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,4.0
spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Something About The Way You Look Tonight - Edit Version,Elton John,spotify:album:3g61rwvRs1NPeVBxuAMmHZ,False,61,0.48,0.628,6.0,-7.643,1.0,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,4.0
spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,spotify:album:2Pw51hAGvWpTA3AYl2WVuu,False,74,0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647,4.0
spotify:track:0CtkjgZpkgnW7U6WmHsakD,It's Like That,"Run–D.M.C., Jason Nevins",spotify:album:3bRdFxQZdU5g6VjLq8KaU7,False,68,0.852,0.874,7.0,-11.208,1.0,0.0427,0.0168,0.45,0.133,0.666,129.029,4.0
spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,spotify:album:72olNArm75vOycSziqIX9Y,False,80,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,4.0
spotify:track:09tyJ0VvbLty84iHIV3WQn,Listen to the Band - Single Version,The Monkees,spotify:album:338yWfNJWW2SXxVfIdczUD,False,31,0.26,0.659,2.0,-8.98,1.0,0.0625,0.114,2.95e-05,0.499,0.537,184.38,4.0
spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,Ed Sheeran,spotify:album:1xn54DMo2qIqBuMqHtUsFd,False,73,0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0
spotify:track:3tP0kdmWRSqmJAt4nR3ykw,Mississippi,Pussycat,spotify:album:0A1kkCm8cEEPcA6yIkz1wr,False,58,0.605,0.731,10.0,-9.327,1.0,0.0358,0.24,0.000459,0.257,0.638,123.332,4.0
spotify:track:2760p399WNJLX9LGBkjL4Z,Flava,Nathaniel,spotify:album:0RsPmRzTbarQCXBgLSW5Ox,False,5,0.813,0.754,4.0,-3.911,0.0,0.0494,0.166,0.0,0.121,0.923,112.962,4.0
spotify:track:5yJCo7EewUcX9qj5nnk9O2,Baby Sittin' Boogie - Radio Version,Buzz Clifford,spotify:album:1LL6GWTsMYiRc0fwGfoU3h,False,6,0.483,0.533,6.0,-9.883,1.0,0.145,0.805,0.0,0.161,0.878,140.11,4.0
spotify:track:2uiyVyP0Rvl0MgB8ehoc07,Dr. Love,Tina Charles,spotify:album:60XZbb6xRKj7waYqeJi3wz,False,15,0.736,0.563,2.0,-13.837,1.0,0.0312,0.0165,0.0,0.166,0.96,102.021,4.0
spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,spotify:album:50bQvrNAFsAaIbqCcfD7FT,False,68,0.261,0.302,5.0,-8.19,0.0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,3.0
spotify:track:3yDhZq8f17SmumVmEyCaRN,Give It Up,KC & The Sunshine Band,spotify:album:52BJ1S5NOv7eFD6ZFDZga2,False,73,0.862,0.624,3.0,-11.63,1.0,0.0565,0.0192,0.000153,0.0465,0.882,124.896,4.0
spotify:track:4X8KnalmdKJE4C0vMb8CmD,Homecoming,Hey Monday,spotify:album:5BNmZXVJX3h8WbtXyRTRln,False,47,0.393,0.958,2.0,-2.102,1.0,0.0871,0.00966,0.0,0.214,0.323,150.074,4.0
spotify:track:5ibhWB91OHgTVVwtVFMLKP,Funhouse - Main Version - Clean,P!nk,spotify:album:0OHvyFSN4W0fjJ7CiehVMB,False,24,0.789,0.84,11.0,-4.059,0.0,0.0361,0.00616,0.0,0.0646,0.821,103.957,4.0
spotify:track:0IRHUlQ9XCp5aG9NIruLu2,Abergavenny,Marty Wilde,spotify:album:6MLD7tcwokFlJ4Nu048flm,False,33,0.609,0.895,11.0,-8.208,1.0,0.0695,0.162,0.504,0.522,0.792,123.102,4.0
spotify:track:71kj6vbwfqjThqsDxhtYPE,That's All You Gotta Do,Brenda Lee,spotify:album:7B4ewUWVdSC9yuFGiFWuem,False,9,0.587,0.65,1.0,-5.732,1.0,0.0283,0.381,1.01e-06,0.105,0.96,98.137,4.0
spotify:track:4oX4WNqPhgKQrl5W4tdt7V,Its Alright,Deni Hines,spotify:album:7IgYFMrRiybuW2T85jklrC,False,44,0.66,0.88,11.0,-5.338,1.0,0.0375,0.0808,3.48e-06,0.15,0.862,103.395,4.0
spotify:track:0HoMdjB1XwwMlyPfTV7DEj,Metal Guru,T. Rex,spotify:album:3Dg3quPRLDCsEqnzgPl6PE,False,50,0.307,0.95,11.0,-3.427,0.0,0.138,0.00054,7.43e-05,0.313,0.524,127.895,4.0
